refYear,refMonth,reporterISO,netWgt,primaryValue,unitvalue,wtqty
2023,1,BRA,509677600,305875583,0.600135425,50.96776
2023,2,BRA,3483134017,1931031449,0.554394818,348.3134017
2023,3,BRA,10042041401,5574663441,0.555132489,1004.2041401
2023,4,BRA,10055168341,5416095343,0.538637958,1005.5168341
2023,5,BRA,10293020511,5374180072,0.522118854,1029.3020511
2023,6,BRA,9189060693,4547610086,0.4948939,918.9060693
2023,7,BRA,6791327292,3318080887,0.488576201,679.1327292
2023,8,BRA,6292677708,3151764480,0.500862213,629.2677708
2023,9,BRA,5090409184,2632263718,0.517102579,509.0409184
2023,10,BRA,4901110933,2565038058,0.523358498,490.1110933
2023,11,BRA,4548409484,2391601909,0.525810598,454.8409484
2023,12,BRA,3311346724,1721795085,0.519968227,331.1346724
2024,1,BRA,1962054000,1003079398,0.511239445,196.2054
2024,2,BRA,4901600039,2167085063,0.442117889,490.1600039
2024,3,BRA,9016105030,3814402261,0.42306542,901.610503
2024,4,BRA,9838487010,4208922805,0.427801836,983.848701
2024,5,BRA,9988298063,4276186531,0.428119636,998.8298063
2024,6,BRA,10621320084,4669990440,0.439680793,1062.1320084
2024,7,BRA,8921288000,3921886966,0.439609949,892.1288
2024,8,BRA,5922101000,2569489311,0.433881373,592.2101
2024,9,BRA,4315064366,1815730555,0.420788753,431.5064366
2024,10,BRA,3545968000,1515953295,0.427514657,354.5968
2024,11,BRA,2152970003,919272757,0.426978897,215.2970003
2024,12,BRA,1682481078,617888329,0.367248308,168.2481078
2025,1,BRA,808773000,323952013,0.406744968,80.8773
2025,2,BRA,5029647000,1985952505,0.396785557,502.9647
2025,3,BRA,11140739000,4313221073,0.387504921,1114.0739
2025,4,BRA,10759099000,4126925834,0.38357618,1075.9099
2025,5,BRA,10378125458,4053433875,0.390584064,1037.8125458
2025,6,BRA,10350542033,4113040268,0.397643529,1035.0542033
2025,7,BRA,9566859301,3885074229,0.408482473,956.6859301
2025,8,BRA,7982386000,3295925613,0.415604297,798.2386
2025,9,BRA,6806542000,2864739717,0.42285937,680.6542
2025,10,BRA,6340589026,2651925049,0.430069527,634.0589026
