observation_date,IMPTOTUS
2017-01-01,185653.694459
2017-02-01,169238.136418
2017-03-01,194066.135793
2017-04-01,185868.22251
2017-05-01,200330.889176
2017-06-01,198174.397651
2017-07-01,191754.463142
2017-08-01,201557.23513
2017-09-01,194517.256442
2017-10-01,210605.856448
2017-11-01,207578.653133
2017-12-01,200246.389716
2018-01-01,203028.883846
2018-02-01,186770.202889
2018-03-01,207985.485687
2018-04-01,205084.378104
2018-05-01,216026.513962
2018-06-01,211252.662445
2018-07-01,216854.224361
2018-08-01,221896.965105
2018-09-01,211317.474139
2018-10-01,235857.712175
2018-11-01,213493.034014
2018-12-01,206577.736951
2019-01-01,203980.735535
2019-02-01,185267.53233
2019-03-01,207511.04615
2019-04-01,208742.142619
2019-05-01,220207.611029
2019-06-01,206531.579286
2019-07-01,218311.146547
2019-08-01,215245.816181
2019-09-01,206148.934308
2019-10-01,218901.114532
2019-11-01,198974.554693
2019-12-01,201877.354516
2020-01-01,195796.204072
2020-02-01,178107.959988
2020-03-01,193922.847899
2020-04-01,165611.885689
2020-05-01,163494.079397
2020-06-01,179138.115171
2020-07-01,199927.697812
2020-08-01,203112.048656
2020-09-01,206083.668469
2020-10-01,218952.608531
2020-11-01,212453.314812
2020-12-01,214876.750326
