Month,pred,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95
2025-05-01,299787.6293187232,291716.0779782867,308082.51405063004,284637.41630733776,315744.2329911401,276929.81186033576,324532.1335713243
2025-06-01,304583.70381273335,294958.8414061735,314522.637077124,286556.49953966093,323744.9954103827,277449.4807777158,334371.6209820857
2025-07-01,296849.1324523065,286093.2872974989,308009.34992247674,276746.3256335533,318412.2037969462,266661.6313862393,330454.0176237529
2025-08-01,310376.9585703384,297090.1316640436,324258.01514104183,285618.61661992775,337281.43337226816,273322.1056541564,352455.41585746454
2025-09-01,305346.9306648497,291254.01220640325,320121.76368018705,279126.9683918411,334029.8811097246,266171.0438177549,350288.8470854213
2025-10-01,314485.1471450069,298789.5711279693,331005.2201669989,285333.98885668034,346614.5346760401,271012.6058336564,364931.02404070675
2025-11-01,304542.93888391554,288089.5856847955,321935.9748933375,274042.5049842833,338438.0157719382,259153.25710000366,357882.4463250438
2025-12-01,298170.8470603416,281198.71249275154,316167.3581239223,266750.88430685725,333291.6937377747,251481.4726212545,353528.4452965605
2026-01-01,294291.0004350529,276606.71095639275,313105.8991215799,261600.77798019414,331066.26672043523,245792.27856144085,352359.29071472056
2026-02-01,276088.276295771,258636.38687600638,294717.7588918032,243874.41090058323,312557.33648514457,228372.0589301548,333774.3534172126
2026-03-01,314318.78529951454,293632.7299272657,336462.1471749238,276181.28970342013,357722.635368441,257903.02181243367,383075.3827460555
2026-04-01,301271.26611929736,280622.05889575806,323439.918252615,263250.0906643637,344783.83486996207,245105.63133394063,370307.18264267006
2026-05-01,312492.42882449523,290111.7356982403,336599.6823175897,271342.3042032411,359883.1312329728,251799.93144782505,387813.9184198563
2026-06-01,314750.3084164306,291382.4851480823,339992.14674104843,271837.8638071383,364436.9303848124,251543.0854277974,393840.11084921856
2026-07-01,318163.74834050605,293693.17060152115,344673.2198462519,273282.36126150977,370416.0425531945,252146.31025763138,401466.0006511721
2026-08-01,323485.7370071443,297757.98986622796,351436.4873771068,276356.548289402,378652.2255208971,254254.54664189706,411567.9480628483
