,refMonth,reporterISO,qtyUnitAbbr,cifvalue,fobvalue
0,2024-01-01,Argentina,0.0,1406862428.55,1463446115.3899999
1,2024-01-01,Brazil,1962054000.0,13875521189.0,14160694778.0
2,2024-01-01,USA,3816904700.0,49897756362.0,51689506011.0
3,2024-02-01,Argentina,0.0,1076264486.05,1120566574.28
4,2024-02-01,Brazil,4901600039.0,13423567076.0,13681606553.0
5,2024-02-01,USA,3253857911.0,45592370635.0,47288341928.0
6,2024-03-01,Argentina,0.0,986007350.1999999,1027923024.99
7,2024-03-01,Brazil,9016105030.0,16680126757.0,16953775894.0
8,2024-03-01,USA,1767744199.0,43600496244.0,45194711857.0
9,2024-04-01,Argentina,164512000.0,1151294070.3,1195296573.85
10,2024-04-01,Brazil,9838487010.0,18398756674.0,18691469313.0
11,2024-04-01,USA,533153246.664,43440690181.0,45103088574.0
12,2024-05-01,Argentina,1387600000.0,2299177526.71,2350670033.18
13,2024-05-01,Brazil,9988298063.0,18431581225.0,18721166670.0
14,2024-05-01,USA,290975083.5,46256056563.0,48106811653.0
15,2024-06-01,Argentina,1350020000.0,2265038756.61,2308976372.5
16,2024-06-01,Brazil,10621320084.0,20095512889.0,20531639063.0
17,2024-06-01,USA,22134255.602,45444166699.0,47347744435.0
18,2024-07-01,Argentina,334744000.0,1514659685.1100001,1595979149.46
19,2024-07-01,Brazil,8921288000.0,19616299476.0,20127785391.0
20,2024-07-01,USA,24173199.608,51559836760.0,53864656365.0
21,2024-08-01,Argentina,416378000.0,1481515315.13,1565924722.5500002
22,2024-08-01,Brazil,5922101000.0,15616302370.0,16271982356.0
23,2024-08-01,USA,291526339.707,51960548621.0,54287496449.0
24,2024-09-01,Argentina,265545000.0,1777953232.3,1911407560.3
25,2024-09-01,Brazil,4315064366.0,15016751131.0,15690817010.0
26,2024-09-01,USA,988940939.332,54793674880.0,57121701960.0
27,2024-10-01,Argentina,0.0,1585661697.48,1724144820.83
28,2024-10-01,Brazil,3545968000.0,15058294191.0,15813327871.0
29,2024-10-01,USA,5769850578.926,57631266743.0,59824981814.0
30,2024-11-01,Argentina,0.0,1412592307.28,1529040992.14
31,2024-11-01,Brazil,2152970003.0,12283852922.0,12900084267.0
32,2024-11-01,USA,5771964214.211,53215292348.0,55225191934.0
33,2024-12-01,Argentina,0.0,1419184389.9099998,1536959692.31
34,2024-12-01,Brazil,1682481078.0,10994198394.0,11552702060.0
35,2024-12-01,USA,3786099275.078,51846540655.0,53875697073.0
36,2025-01-01,Argentina,0.0,1673686372.68,1813757857.89
37,2025-01-01,Brazil,808773000.0,11820421740.0,12412091823.0
38,2025-01-01,USA,1621961199.145,52288523135.0,54494534623.0
39,2025-02-01,Argentina,0.0,1730406378.69,1858516691.3500001
40,2025-02-01,Brazil,5029647000.0,15175309686.0,15658876164.0
41,2025-02-01,USA,1327225752.565,42710191437.0,44546879746.0
42,2025-03-01,Argentina,0.0,1498837182.96,1609216599.71
43,2025-03-01,Brazil,11140739000.0,18276199903.0,18683446058.0
44,2025-03-01,USA,1755518231.499,41652742910.0,43427709112.0
45,2025-04-01,Argentina,0.0,1699834140.06,1810420257.41
46,2025-04-01,Brazil,10759099000.0,17912722637.0,18279055597.0
47,2025-04-01,USA,487366534.537,33795634946.0,35401251237.0
48,2025-05-01,Argentina,1119725000.0,2435010905.62,2513611650.88
49,2025-05-01,Brazil,10378125458.0,19081619195.0,19416512825.0
50,2025-05-01,USA,135215303.799,27108065124.0,28407100223.0
51,2025-06-01,Argentina,909144000.0,2441015321.59,2509231816.07
52,2025-06-01,Brazil,10350542033.0,20110559534.0,20441041249.0
53,2025-06-01,USA,40008.0,28390610154.0,29619220386.0
54,2025-07-01,Brazil,9566859301.0,19682253447.0,20016443358.0
55,2025-07-01,USA,105516.0,35708750974.0,37541781905.0
56,2025-08-01,Brazil,7982386000.0,18085913685.0,18531226145.0
57,2025-09-01,Brazil,6806542000.0,17755051299.0,18259763265.0
58,2025-10-01,Brazil,6340589026.0,18298317213.0,18745219791.0
